,tweets
0,"If anything can go wrong, it will
						Corollary: It can
						Corollary sent by Dr. Allen Roberds
						Corollary: It should
						MacGillicuddy's Corollary: At the most inopportune time
						Corollary sent by Earl R. Johnson
						Extension: it will be all your fault, and everyone will know it.
						Extension sent by Dean A. Izett"
1,"If there is a possibility of several things going wrong, the one that will cause the most damage will be the one to go wrong
						Extreme version:
						If there is a possibility of several things going wrong, the one that will cause the most damage will be the FIRST to go wrong
						Extreme version sent by 
						Neal Miller"
2,"If anything just cannot go wrong, it will anyway"
3,"If you perceive that there are four possible ways in which something can go wrong, and circumvent these, then a fifth way, unprepared for, will promptly develop
						Corollary: It will be impossible to fix the fifth fault, without breaking the fix on one or more of the others
						Corollary sent by Sean Cheshire"
4,"Left to themselves, things tend to go from bad to worse"
5,"If everything seems to be going well, you have obviously overlooked something"
6,"Nature always sides with the hidden flaw
						Corollary: The hidden flaw never stays hidden for long.
						Corollary sent by Dave M."
7,"Mother nature is a bitch
						Addendum: and not an obedient one at that
						Addendum sent by Paul Kekanovich"
8,"Murphy's Law of Thermodynamics
						Things get worse under pressure."
9,"The Murphy Philosophy
						Smile . . . tomorrow will be worse."
10,"Quantization Revision of Murphy's Laws
						Everything goes wrong all at once."
11,"Murphy's Constant
						Matter will be damaged in direct proportion to its value"
12,"Murphy's Law of Research
						Enough research will tend to support whatever theory."
13,"Research supports a specific theory depending on the amount of funds dedicated to it.
						Sent by Tony '68"
14,"Addition to Murphy's Laws
						In nature, nothing is ever right. Therefore, if everything is going right ... something is wrong."
15,More Laws
16,Anything that can go wrong will go wrong.
17,It is impossible to make anything foolproof because fools are so ingenious.
18,"Left to themselves, things tend to go from bad to worse."
19,"Rule of Accuracy: When working toward the solution of a problem, it always helps if you know the answer.
						Corollary: Provided, of course, that you know there is a problem."
20,Nothing is as easy as it looks.
21,Everything takes longer than you think.
22,"Everything takes longer than it takes.
						Sent by Jon Carpenter"
23,"If anything simply cannot go wrong, it will anyway."
24,"Whenever you set out to do something, something else must be done first."
25,Every solution breeds new problems.
26,The legibility of a copy is inversely proportional to its importance.
27,"no matter how perfect things are made to appear, Murphy's law will take effect and screw it up.
						Sent by Mitch"
28,You cannot successfully determine beforehand which side of the bread to butter.
29,"The chance of the buttered side of the bread falling face down is directly proportional to the cost of the carpet.
						Sent by Paul Breen"
30,The chance of the bread falling with the buttered side down is directly proportional to the cost of the carpet.
31,More Laws of Selective Gravitation.
32,A falling object will always land where it can do the most damage.
33,A shatterproof object will always fall on the only surface hard enough to crack or break it.
34,A paint drip will always find the hole in the newspaper and land on the carpet underneath (and will not be discovered until it has dried).
35,"A dropped power tool will always land on the concrete instead of the soft ground (if outdoors) or the carpet (if indoors) - unless it is running, in which case it will fall on something it can damage (like your foot)."
36,"If a dish is dropped while removing it from the cupboard, it will hit the sink, breaking the dish and chipping or denting the sink in the process."
37,"A valuable dropped item will always fall into an inaccessible place (a diamond ring down the drain, for example) - or into the garbage disposal while it is running."
38,"If you use a pole saw to saw a limb while standing on an aluminum ladder borrowed from your neighbor, the limb will fall in such a way as to bend the ladder before it knocks you to the ground."
39,"If you pick up a chunk of broken concrete and try to pitch it into an adjacent lot, it will hit a tree limb and come down right on the driver's side of your car windshield."
40,More Laws of Selective Gravitation were sent by Jack from the Classic CKLW Page
41,"The greater the value of the rug, the greater the probability that the cat will throw up on it.
						Sent by Ralph"
42,You will always find something in the last place you look.
43,"If your looking for more than one thing, you'll find the most important one last.
						Sent by Alegna"
44,"It is never in the last place you look. It is in the first place you look, but never discovered on the first attempt.
						Sent by Peter"
45,"After you bought a replacement for something you've lost and searched for everywhere, you'll find the original.
						Sent by Dizzy"
46,"You have to look where you lost it.
						Sent by ClaytonPrc@aol.com"
47,"No matter how long or how hard you shop for an item, after you've bought it, it will be on sale somewhere cheaper."
48,The other line always moves faster.
49,"In order to get a personal loan, you must first prove you don't need it."
50,Anything you try to fix will take longer and cost you more than you thought.
51,If you fool around with a thing for very long you will screw it up.
52,"If it jams - force it. If it breaks, it needed replacing anyway."
53,"When a broken appliance is demonstrated for the repairman, it will work perfectly."
54,"Build a system that even a fool can use, and only a fool will use it."
55,Everyone has a scheme for getting rich that will not work.
56,"In any hierarchy, each individual rises to his own level of incompetence, and then remains there."
57,"There's never time to do it right, but there's always time to do it over."
58,"When in doubt, mumble. When in trouble, delegate."
59,"Anything good in life is either illegal, immoral or fattening."
60,Murphy's golden rule: whoever has the gold makes the rules.
61,A Smith & Wesson beats four aces.
62,"In case of doubt, make it sound convincing."
63,"Never argue with a fool, people might not know the difference."
64,Whatever hits the fan will not be evenly distributed.
65,"No good deed goes unpunished.
						Sent by John Cougar and by getalife who asks ""who wrote that?"".
Illustrious Blackbird knew the answer, it was Samuel L. Clemens also known as Mark Twain."
66,"Where patience fails, force prevails.
						Sent by Woody."
67,"Erma Bombeck
						""Anything dropped in the bathroom will fall in the toilet.
						Sent by Amwood1@amwoodhomes.com."
68,"Heisenberg indetermination principle applied to ill luck:
						The better you know the amount of ill luck that will strike you,
						the worse you know when this will happen,
						and vice-versa.
						and Relativistic correction of Murphy's law:
						Whether things can go wrong or not, it depends on your frame of reference.
						Corollary (otherwise said: ill luck is actually absolute):
						Regardless of your frame of reference, things will go wrong anyway.
						Were sent by Simone Penzavalle."
69,"If you want something bad enough, chances are you won't get it."
70,"If you think you are doing the right thing, chances are it will back-fire in your face."
71,"When waiting for traffic, chances are that when one lane clears the other is congested."
72,"Just when you think things cannot get any worse, they will."
73,"Remember the ""Boomer-rang"" effect; Whatever you do will always come back."
74,"If you re-act to actions, you've acted on actions."
75,"He who angers you controls you, there-fore you have no control over your anger.
						The last SEVEN laws were sent by Leesa,
						Thank you."
76,"Any time you put an item in a ""safe place"", it will never be seen again."
77,Your best golf shots always occur when playing alone.
78,The worst golf shots always occur when playing with someone you are trying to impress.
79,"No matter how hard you try, you cannot push a string.
						(getting everyone in the family to the car at the same time for example)"
80,The fish are always biting....yesterday!
81,"You will never leave a parking space without someone in an adjacent space leaving at the same time.
						Sent by Sean Murphy"
82,The cost of the hair do is directly related to the strength of the wind.
83,Great ideas are never remembered and dumb statements are never forgotten.
84,"The clothes washer/dryer will only eat one of each pair of socks.
						EIGHT laws were sent by Charles L. Mays,
						Thank you."
85,"When you see light at the end of the tunnel, the tunnel will cave in.
						Sent by Fridrik Bjarnason
						Or in another version
						The light at the end of the tunnel is a train
						Sent by Steve"
86,"Cole's Law:
						Thinly sliced cabbage.
						Sent by Michael"
87,"Being dead right, won't make you any less dead.
						and
						Having the right of way, won't make you any less dead.
						Sent by anonymous"
88,"Whatever you want, you can't have, what you can have, you don't want."
89,"Whatever you want to do, is Not possible, what ever is possible for you to do, you don't want to do it."
90,"Traffic is inversely proportional to how late you are, or are going to be."
91,"The complexity and frustration factor is inversely proportional to how much time you have left to finish, and how important it is.
						The four last laws were sent by Joe"
92,"Crespins law of observation:
						the probability of being observed is in direct proportion to the stupidity of ones actions
						Sent by R. Crespin esq."
93,"If you go to bed with an itchy ass, you wake up with smelly fingers.
						Sent by Chris Davidsen, from Norway."
94,A knowledge of Murphy's Law is no help in any situation.
95,"If you apply Murphy's Law, it will no longer be applicable."
96,"If you say something, and stake your reputation on it, you will lose your reputation."
97,"no matter where I go, there I am
						Sent by John Davenport"
98,"Where patience fails, force prevails.
						Sent by Woody"
99,"Murphy's Law Current Revision
						Any thing that can go wrong, HAS Already Gone Wrong!
						You just haven't been notified."
